metric,count,mean,std,min,25%,50%,75%,max
vendor_number,10692.0,10650.649457538346,18753.519147725598,2.0,3951.0,7153.0,9552.0,201359.0
brand_id,10692.0,18039.228769173213,12662.187073941996,58.0,5793.5,18761.5,25514.25,90631.0
volume_ml,10691.0,847.0088859788607,664.336026342274,1.75,750.0,750.0,750.0,20000.0
retail_price,10648.0,35.67118425995492,148.5340655608788,0.49,10.99,15.99,28.99,7499.99
purchase_price_reference,10648.0,24.402095229151012,109.48335536911195,0.36,6.84,10.45,19.47,5681.81
purchase_price,10692.0,24.38530303030303,109.2693745524754,0.36,6.840000000000001,10.455000000000004,19.482499999999973,5681.81
unit_purchase_cost,10692.0,24.38530303030303,109.2693745524754,0.36,6.840000000000001,10.455000000000004,19.482499999999973,5681.81
total_purchase_quantity,10692.0,3140.88683127572,11095.086768739646,1.0,36.0,262.0,1975.75,337660.0
total_purchase_dollars,10692.0,30106.693371679765,123067.7996269912,0.71,453.4575,3655.465,20738.245000000003,3811251.599999997
total_sales_quantity,10692.0,3077.4821361765808,10952.85139086887,0.0,33.0,261.0,1929.25,334939.0
total_sales_dollars,10692.0,42239.07441919185,167655.2659838407,0.0,729.22,5298.045000000001,28396.914999999906,5101919.509999823
avg_sales_price,10692.0,33.27019659626989,125.35176899605152,0.0,10.217788681234996,15.209061407137153,27.691165273083087,5799.99
total_excise_tax,10692.0,1774.226258885141,10975.582239769838,0.0,4.800000000000001,46.56999999999999,418.6500000000003,368242.7999999932
vendor_freight_cost_total,10692.0,61433.76321361767,60938.458032125,0.09,14069.869999999995,50293.62000000002,79528.99,257032.07000000007
freight_cost,10692.0,153.43010568649456,626.7559902648915,0.0036486801139252183,2.313321585504239,18.736990077246794,106.24610401864688,19787.629628623356
freight_per_unit,10692.0,0.12453959621600058,0.5578232994715495,0.001825766123979966,0.03518069456488433,0.0536819466344777,0.0995058936895313,29.269939842001023
begin_on_hand_units,10692.0,395.35026187803965,997.2913064812582,0.0,0.0,43.0,358.25,15499.0
end_on_hand_units,10692.0,459.08314627759074,1123.815151658442,0.0,12.0,73.0,402.0,16770.0
inventory_change_units,10692.0,63.73288439955107,586.1500299025422,-13304.0,-12.0,10.0,66.0,13121.0
purchase_rows,10692.0,221.87813318368873,584.9270011629732,1.0,3.0,20.0,166.25,7359.0
purchase_orders,10692.0,21.415637860082306,21.129637819054057,1.0,2.0,11.0,46.0,55.0
sales_rows,10692.0,1198.753367003367,2516.068516288385,0.0,14.0,132.0,1081.5,21984.0
gross_profit,10692.0,12132.381047512088,46224.33796422434,-52002.780000000006,52.92,1399.6400000000008,8660.19999999993,1290667.909999826
gross_profit_after_freight,10692.0,11978.950941825591,45628.65357955438,-52372.71268893641,51.319020683454845,1376.5887428346985,8565.113681358189,1271342.7645102348
profit_margin,10514.0,-15.885226801455811,447.2898817111415,-23730.638953040805,15.353838514123208,30.77837531833893,40.210967435868305,99.71665654725764
net_profit_margin,10514.0,-16.47754255815945,449.5660368281491,-23849.33722989584,14.922542863347456,30.42263004161143,39.90520869341904,99.7152128338429
stock_turnover,10692.0,1.7067934200154453,6.020460171443622,0.0,0.8072289156626506,0.98152898436266,1.0393421909101352,274.5
sales_to_purchase_ratio,10692.0,2.5043898974093914,8.459067466395338,0.0,1.1537287606394258,1.4368942772221187,1.6654490773799517,352.92857142857275
unsold_units,10692.0,125.02515899738123,464.4936378032008,0.0,0.0,10.0,66.0,13121.0
unsold_inventory_value,10692.0,1459.1027890011223,4845.434296638627,0.0,0.0,88.1,895.8375000000001,169785.74000000043
unit_sales_price,10514.0,33.79018539838421,126.24246822800808,0.48999999999999877,10.440512263515771,15.490000000000002,27.99,5799.99
unit_margin,10514.0,10.38081788839752,34.63076102094925,-11.736511627907003,3.369999999999999,5.04762557045077,8.55,1535.29
