vendor_name,total_purchase_dollars,purchase_contribution_pct,cumulative_contribution_pct
DIAGEO NORTH AMERICA INC,50097226.16000004,16.300345174003866,16.300345174003866
MARTIGNETTI COMPANIES,25502095.829999983,8.29772417662184,24.598069350625707
PERNOD RICARD USA,23851164.17,7.7605535989386825,32.35862294956439
JIM BEAM BRANDS COMPANY,23494304.319999993,7.64444060866722,40.00306355823161
BACARDI USA INC,17432020.260000005,5.671929747382015,45.674993305613626
CONSTELLATION BRANDS INC,15273708.079999985,4.969670635971423,50.64466394158505
BROWN-FORMAN CORP,13238939.179999994,4.307609321171315,54.952273262756364
E & J GALLO WINERY,12068539.219999997,3.9267913637317275,58.879064626488095
ULTRA BEVERAGE COMPANY LLP,11167081.60999999,3.63348030982621,62.512544936314306
M S WALKER INC,9764312.599999998,3.1770554572931062,65.6896003936074
